depth,Micro_Abund_DAPI,Micro_Abund_DAPI_SD,NO_x,NH4,N2xs,N2xs_SD
68,,,,,,
103,6.791952711,0.884968616,12.29684037,9.657556348,9.33580326,4.967166928
160,,,,,,
168,6.752424058,2.484483369,,,,
195,6.461772196,2.12370446,,,,
205,2.601915469,1.653830199,,,,
235,5.273587384,1.236718001,3.203112502,2.729304226,27.4669171,1.883459272
260,,,,,,
275,3.113462746,0.902997405,2.518862595,6.033936764,31.25974746,5.047863305
278,,,,,,
285,6.194372483,1.159911969,0.614556511,5.616047577,34.1472637,
296,8.066170474,2.601830217,,,,
306,7.694136091,2.987530884,0.475852739,12.89945877,27.97520193,0.604021119
315,8.275439815,2.130126361,,,,
450,0.764995701,0.339018363,,,,
901,5.066643258,1.287958736,,,,
