depth,DCA,DCA_SD,BNP,BNP_SD,Micro_Abund_AO,Micro_Abund_AO_SD,Micro_Abund_DAPI,Micro_Abund_DAPI_SD,Flag_Abund,Flag_Abund_SD,VLP_Abund,VLP_Abund_SD,O2_Winkler,O2_Winkler_SD,H2S,H2S_SD,PartS0,PartS0_SD,TZVS,TZVS_SD,CH4,CH4_SD,NO_x,NO3,NO2,NH4,PO4
25,1.6154,0.3897,17.7008,2.5342,1.007580555,0.372115518,10.90060743,1.94926432,0.24,0.26,13.12718003,0.000488812,212.3925366,1.179231354,,,,,0.017965252,0,0.016,0.001,0.092879384,0.085934301,0.006945083,0.501680596,0.101076065
101,0.3278,0.0914,1.3639,0.1067,0.55572742,0.319224527,6.412942682,0.677981699,0.21,0.3,1.969777087,0.000105879,135.7939138,0.551614757,,,,,,,0.017,0.005,8.990813077,8.839499414,0.151313663,0.387034678,0.543336945
175,0.3711,0.0871,0.7971,0.0596,0.810219416,0.283415886,4.129581655,0.570739089,0.26,0.14,1.356644326,5.18E-05,74.62287625,0.382213055,,,,,,,0.019,0.003,12.78229665,12.73584919,0.046447456,0.576422437,1.165224349
196,0.7849,0.4607,0.4458,0.0408,3.718699369,1.504285499,4.752739247,0.699044147,0.6,0.22,1.331954092,6.38E-05,43.15267016,0.372027683,,,,,,,0.02,0.002,11.00406605,10.97178282,0.032283222,0.583903481,1.534174471
225,0.5455,0.0787,0.7443,0.3489,0.514177706,0.282886631,,,0.45,0.25,0.751627637,2.60E-05,24.90825546,0.823830014,0.054520548,0.094432359,0.034029847,0.000609183,0.017965252,0,0.046,0.003,9.944643592,9.926004683,0.018638909,,1.692295946
243,0.3589,0.1018,0.4574,0.0809,0.945255985,0.278078009,4.23654154,0.470922196,0.28,0.23,0.849514027,4.73E-05,17.64007099,0.633092787,0,0,0.033599089,0,0.017965252,0,0.079,0.004,8.868535627,8.850924084,0.017611543,0.430867025,1.807560378
260,0.622,0.1165,0.3731,0.0333,4.113421649,0.954538797,5.3386934,0.96378529,1.27,0.33,1.995254993,9.74E-05,8.300974156,0.510412428,0,0,0.145535593,0.160220203,0.017965252,0,0.139,0.001,5.210953011,5.187714588,0.023238423,0.453180178,2.012867315
275,0.4236,0.0657,0.5692,0.0378,2.991579381,0.421228402,9.291558723,1.681859008,1.03,0.33,4.248186896,0.000110962,1.946700038,0.220943798,0,0,0.033599089,0,0.017965252,0,0.264,0.007,1.460204011,1.438974037,0.021229974,0.344069583,2.368827343
286,0.4991,0.0508,1.1144,0.4952,1.807412543,0.605685953,10.39836101,1.321027687,0.77,0.39,4.599881057,0.000146377,2.406297156,0.583531804,0,0,0.07666375,0.06129161,0.017965252,0,0.476,0.004,0.478916178,0.451357896,0.027558283,1.577304544,2.272472302
291,6.5243,0.5998,1.7599,1.6105,1.755475401,0.452777507,6.952392538,1.623918423,1.55,0.53,9.885932764,0.000403207,1.304875474,0.114246461,0,0,0.137206476,0.147623,0.21953464,0.020993777,0.813,0.013,0.398978845,0.389214037,0.009764808,2.013237839,2.494235601
310,11.8994,2.0647,1.6674,0.7063,3.562887943,1.007098549,8.01734096,0.965379643,1.22,0.58,2.510568093,0.000165243,0,,1.635616438,1.577331371,0.740516646,0.0412063,0.380161729,0.019249986,1.508,0.091,0.04323644,0.038718711,0.004517729,3.450165167,2.945787423
320,12.124,1.149,1.3545,0.057,4.154971362,0.461951934,5.389848128,0.668703129,0.72,0.38,1.542897615,3.95E-05,0,,6.760547945,0.41162111,0.460093709,0.01251445,0.200383302,0.00040889,1.753,0.034,0.028630255,0.023809841,0.004820414,4.562396405,2.970754599
336,0.2204,0.0664,0.7247,0.6286,0.207748568,0.134101124,3.134389679,0.678247466,0,0.14,1.549119872,5.48E-05,0,,14.22986301,1.425897353,0.073653585,0,0.017965252,0,3.05,0.079,0.127079602,0.120322705,0.006756897,5.765320861,3.052435316
352,0.5574,0.287,0.5611,0.3373,0.129842855,0.138499045,3.059982803,0.410597809,0.15,0.21,0.893769083,2.78E-05,0,,15.64739726,1.391075514,0.060441382,0.010872893,0.017965252,0,5.124,0.053,0.076334765,0.07064139,0.005693375,6.237724246,3.053992594
402,0.0821,0.0495,0.7305,0.4633,,,3.227398275,0.683189483,0.08,0.18,1.502394679,7.39E-05,0,,21.20849315,0.944323591,0.072273514,0,0.017965252,0,8.493,0.093,0.108009082,0.100717235,0.007291847,8.61436387,3.174547133
502,0.0268,0.0291,0.0845,0.0098669,0.270073139,0.236109393,2.22755587,0.429280545,0.19,0.2,0.809903352,3.24E-05,0,,39.6909589,1.678666334,,,,,10.328,0.231,0.13563354,0.126933858,0.008699683,15.3673782,3.516894664
900,0.0045605,0.0064495,0.0802,0.0046706,0.311622852,0.299859229,2.767005726,0.546851349,0.54,0.37,0.603833268,2.43E-05,0,,70.33150685,0.163561644,,,,,12.416,0.497,0.127802382,0.122544991,0.005257391,23.64815751,3.9596923
1300,0,0,0.0796,0.0089897,0.488209135,0.347112153,2.650744981,0.519240149,0.03,0.18,12.64455617,0.000304838,0,,79.10931507,0.930050877,,,,,15.033,0.398,0.06923986,0.064204006,0.005035854,27.67542886,4.123711069
