depth,Micro_Abund_AO,Micro_Abund_AO_SD,Micro_Abund_DAPI,Micro_Abund_DAPI_SD,VLP_Abund,VLP_Abund_SD,NO_x,NO_x_SD,NH4,NH4_SD,N2xs,N2xs_SD
149,0.893597478,0.275377054,0.786864,0.242485342,15.12909065,2.280671496,,,,,,
167,1.019617635,0.307880906,0.897832,0.271106854,,,11.18764019,2.211037931,0.821620191,0.318599614,17.64,0
201,0.687382675,0.168633317,0.60528,0.148491339,7.825391713,0.951105761,,,,,,
227,0.8821411,0.637864127,0.776776,0.561676069,,,6.348170024,0.005115289,1.016919619,0.136050063,29.59,2.279327386
238,1.025345824,0.439576044,0.902876,0.387072001,12.25978035,2.003539898,2.682460589,0.805089891,0.951311812,0.546086096,29.77,0.183847763
248,1.767146294,0.801264237,1.556074,0.705559268,11.47724118,1.714630295,0.385752771,0.07049288,4.122203375,0.466449663,33.32,1.857955866
257,1.283114327,0.321777187,1.129856,0.28334333,,,0,0,2.411904643,0.216333071,36.7,4.22737113
267,0.836315588,0.503733346,0.736424,0.443566198,,,,,,,38.73,3.764837314
450,0.624372597,0.303708077,0.549796,0.267432438,10.8251252,1.540967454,,,,,38.52,4.101219331
900,0.532721573,0.196584383,0.469092,0.173103861,8.347084494,2.179257072,,,,,36.58,0.129614814
